Rk,Tm,Lg,G,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,>.500,<.500,playoffs,lcs,ws,champs
1,WSN,NL,162,98,64,0.605,4.5,3.7,0.8,-0.2,0.7,96-66,2,8-Oct,50-31,48-33,13-7,27-21,69-45,29-19,48-40,50-24,1,0,0,0
2,CIN,NL,162,97,65,0.599,4.1,3.6,0.5,-0.3,0.2,91-71,6,8-Jul,50-31,47-34,7-Jul,31-21,65-47,32-18,40-36,57-29,1,0,0,0
3,NYY,AL,162,95,67,0.586,5,4.1,0.8,0.2,1.1,95-67,0,13-5,51-30,44-37,3-Jun,22-25,58-43,37-24,47-44,48-23,1,1,0,0
4,SFG,NL,162,94,68,0.58,4.4,4,0.4,-0.2,0.2,88-74,6,8-Jul,48-33,46-35,5-Aug,30-20,54-49,40-19,44-42,50-26,1,1,1,1
5,OAK,AL,162,94,68,0.58,4.4,3.8,0.6,0.2,0.8,92-70,2,8-Oct,50-31,44-37,5-Nov,25-18,64-39,30-29,47-44,47-24,1,0,0,0
6,ATL,NL,162,94,68,0.58,4.3,3.7,0.6,-0.1,0.5,92-70,2,10-Aug,48-33,46-35,4-Jul,25-13,64-37,30-31,45-41,49-27,1,0,0,0
7,TEX,AL,162,93,69,0.574,5,4.4,0.6,0.1,0.8,91-71,2,14-4,50-31,43-38,5-Aug,24-22,65-50,28-19,43-43,50-26,1,0,0,0
8,BAL,AL,162,93,69,0.574,4.4,4.4,0,0.3,0.3,82-80,11,7-Nov,47-34,46-35,16-2,29-9,67-51,26-18,44-43,49-26,1,0,0,0
9,TBR,AL,162,90,72,0.556,4.3,3.6,0.7,0.2,0.9,95-67,-5,9-Sep,46-35,44-37,7-May,21-27,63-49,27-23,45-42,45-30,0,0,0,0
10,LAA,AL,162,89,73,0.549,4.7,4.3,0.4,0.2,0.7,88-74,1,6-Dec,46-35,43-38,4-Mar,18-18,62-51,27-22,49-47,40-26,0,0,0,0
11,DET,AL,162,88,74,0.543,4.5,4.1,0.3,0,0.4,87-75,1,7-Nov,50-31,38-43,5-Apr,21-27,62-49,26-25,40-34,48-40,1,1,1,0
12,STL,NL,162,88,74,0.543,4.7,4,0.7,-0.3,0.4,93-69,-5,7-Aug,50-31,38-43,12-Jun,21-26,57-57,31-17,39-40,49-34,1,1,0,0
13,LAD,NL,162,86,76,0.531,3.9,3.7,0.2,-0.1,0.1,86-76,0,9-Jun,45-36,41-40,7-Aug,29-27,50-50,36-26,41-50,45-26,0,0,0,0
14,CWS,AL,162,85,77,0.525,4.6,4.2,0.4,0,0.4,88-74,-3,9-Sep,45-36,40-41,9-May,26-21,62-53,23-24,33-39,52-38,0,0,0,0
15,MIL,NL,162,83,79,0.512,4.8,4.5,0.3,-0.3,0,85-77,-2,9-Jun,49-32,34-47,11-Jul,24-32,57-58,26-21,32-41,51-38,0,0,0,0
16,ARI,NL,162,81,81,0.5,4.5,4.2,0.3,-0.2,0.1,86-76,-5,6-Sep,41-40,40-41,4-Mar,15-27,49-50,32-31,38-45,43-36,0,0,0,0
17,PHI,NL,162,81,81,0.5,4.2,4.2,0,-0.1,-0.1,81-81,0,10-May,40-41,41-40,10-Jul,25-27,58-51,23-30,39-43,42-38,0,0,0,0
18,PIT,NL,162,79,83,0.488,4,4.2,-0.1,-0.2,-0.4,78-84,1,8-Oct,45-36,34-47,2-Apr,28-29,57-64,22-19,41-55,38-28,0,0,0,0
19,SDP,NL,162,76,86,0.469,4,4.4,-0.4,-0.1,-0.5,75-87,1,7-Aug,42-39,34-47,6-Apr,26-21,52-55,24-31,44-61,32-25,0,0,0,0
20,SEA,AL,162,75,87,0.463,3.8,4,-0.2,0.3,0.1,77-85,-2,10-Aug,40-41,35-46,10-May,25-28,50-55,25-32,42-67,33-20,0,0,0,0
21,NYM,NL,162,74,88,0.457,4,4.4,-0.4,0,-0.4,75-87,-1,7-Aug,36-45,38-43,7-Mar,20-22,53-50,21-38,46-62,28-26,0,0,0,0
22,TOR,AL,162,73,89,0.451,4.4,4.8,-0.4,0.3,-0.1,74-88,-1,9-Sep,41-40,32-49,6-Jul,15-25,52-62,21-27,40-68,33-21,0,0,0,0
23,KCR,AL,162,72,90,0.444,4.2,4.6,-0.4,0.1,-0.3,74-88,-2,10-Aug,37-44,35-46,7-Aug,27-26,48-62,24-28,47-50,25-40,0,0,0,0
24,BOS,AL,162,69,93,0.426,4.5,5,-0.4,0.3,-0.2,74-88,-5,7-Sep,34-47,35-46,10-Feb,17-22,43-68,26-25,37-67,32-26,0,0,0,0
25,MIA,NL,162,69,93,0.426,3.8,4.5,-0.7,0,-0.7,68-94,1,13-May,38-43,31-50,5-Dec,26-26,45-64,24-29,41-61,28-32,0,0,0,0
26,CLE,AL,162,68,94,0.42,4.1,5.2,-1.1,0.2,-0.9,64-98,4,10-Aug,37-44,31-50,8-May,24-12,50-59,18-35,42-53,26-41,0,0,0,0
27,MIN,AL,162,66,96,0.407,4.3,5.1,-0.8,0.1,-0.7,68-94,-2,9-Sep,31-50,35-46,5-Aug,26-28,44-67,22-29,33-63,33-33,0,0,0,0
28,COL,NL,162,64,98,0.395,4.7,5.5,-0.8,-0.1,-0.9,69-93,-5,13-Feb,35-46,29-52,2-May,18-23,49-63,15-35,37-71,27-27,0,0,0,0
29,CHC,NL,162,61,101,0.377,3.8,4.7,-0.9,-0.1,-1,65-97,-4,10-May,38-43,23-58,6-Apr,15-27,43-75,18-26,32-69,29-32,0,0,0,0
30,HOU,NL,162,55,107,0.34,3.6,4.9,-1.3,-0.1,-1.4,59-103,-4,9-Jun,35-46,20-61,11-Jan,17-27,40-80,15-27,29-68,26-39,0,0,0,0